CountryName,Capital,Fartest,Nearest
Mongolia,Ulan Bator,Stanley,Beijing
Montenegro,Podgorica,Wellington,Tirana
Montserrat,Plymouth,Dili,St. John's
Morocco,Rabat,Kingston,Gibraltar
Mozambique,Maputo,Yaren,Mbabane
Myanmar,Nay Pyi Taw,Lima,Vientiane
Namibia,Windhoek,Yaren,Gaborone
Nauru,Yaren,Jamestown,Majuro
Nepal,Kathmandu,Santiago,Thimphu
Netherlands,Amsterdam,Wellington,Brussels
Netherlands Antilles,Willemstad,Longyearbyen,Grytviken
New Caledonia,Noumea,Nouakchott,Port Vila
New Zealand,Wellington,Madrid,Kingston
Nicaragua,Managua,West Island,Tegucigalpa
Niger,Niamey,Mata-Utu,Ouagadougou
Nigeria,Abuja,Apia,Malabo
Niue,Alofi,N'Djamena,Pago Pago
Norfolk Island,Kingston,El Aaiún,Noumea
North Korea,Pyongyang,Montevideo,Seoul
Northern Mariana Islands,Saipan,Brasília,Hagåtña
Norway,Oslo,Wellington,Stockholm
Oman,Muscat,Adamstown,Abu Dhabi
Pakistan,Islamabad,Adamstown,Kabul
Palau,Melekeok,Brasília,Hagåtña
Palestinian Territory,East Jerusalem,Avarua,Jerusalem
Panama,Panama City,West Island,San José
Papua New Guinea,Port Moresby,Praia,Honiara
Paraguay,Asunción,Taipei,Buenos Aires
Peru,Lima,Phnom Penh,Quito
Philippines,Manila,Sucre,Hong Kong
Pitcairn,Adamstown,Manama,Papeete
Poland,Warsaw,Wellington,Vilnius
Portugal,Lisbon,Wellington,Gibraltar
Puerto Rico,San Juan,The Settlement,Charlotte Amalie
Qatar,Doha,Adamstown,Manama
Republic of the Congo,Brazzaville,Yaren,Kinshasa
Reunion,Saint-Denis,Mexico City,Port Louis
Romania,Bucharest,Wellington,Sofia
Russia,Moscow,Wellington,Minsk
Rwanda,Kigali,Papeete,Bujumbura
Saint Barthélemy,Gustavia,Dili,Marigot
Saint Helena,Jamestown,Yaren,Luanda
Saint Kitts and Nevis,Basseterre,Dili,Gustavia
Saint Lucia,Castries,Dili,Fort-de-France
Saint Martin,Marigot,Dili,The Valley
Saint Pierre and Miquelon,Saint-Pierre,Canberra,Ottawa
Saint Vincent and the Grenadines,Kingstown,Dili,Castries
Samoa,Apia,Abuja,Pago Pago
San Marino,San Marino,Wellington,Vatican
Sao Tome and Principe,São Tomé,Funafuti,Libreville
Saudi Arabia,Riyadh,Adamstown,Manama
Senegal,Dakar,Honiara,Banjul
Serbia,Belgrade,Wellington,Sarajevo
Seychelles,Victoria,Mexico City,Mogadishu
Sierra Leone,Freetown,Nukunonu,Conakry
Singapore,Singapore,Quito,Kuala Lumpur
Slovakia,Bratislava,Wellington,Vienna
Slovenia,Ljubljana,Wellington,Zagreb
Solomon Islands,Honiara,Bissau,Nukunonu
Somalia,Mogadishu,Papeete,Nairobi
South Africa,Pretoria,Yaren,Gaborone
South Georgia and the South Sandwich Islands,Grytviken,Edo,Stanley
South Korea,Seoul,Montevideo,Pyongyang
Spain,Madrid,Wellington,Andorra la Vella
Sri Lanka,Colombo,Quito,Malé
Sudan,Khartoum,Papeete,Asmara
Suriname,Paramaribo,Dili,Cayenne
Svalbard and Jan Mayen,Longyearbyen,Willemstad,Diego Garcia
Swaziland,Mbabane,Yaren,Maputo
Sweden,Stockholm,Wellington,Tallinn
Switzerland,Berne,Wellington,Vaduz
Syria,Damascus,Adamstown,Beirut
Taiwan,Taipei,Asunción,Hong Kong
Tajikistan,Dushanbe,Adamstown,Tashkent
Tanzania,Dodoma,Papeete,Nairobi
Thailand,Bangkok,Lima,Vientiane
Togo,Lomé,Funafuti,Porto-Novo
Tokelau,Nukunonu,Monrovia,Funafuti
Tonga,Nuku'alofa,Niamey,Alofi
Trinidad and Tobago,Port of Spain,Dili,St. George's
Tunisia,Tunis,Wellington,Valletta
Turkey,Ankara,Adamstown,Jerusalem
Turkmenistan,Ashkhabad,Adamstown,Tehran
Turks and Caicos Islands,Cockburn Town,The Settlement,Port-au-Prince
Tuvalu,Funafuti,Accra,Mata-Utu
U.S. Virgin Islands,Charlotte Amalie,The Settlement,Road Town
Uganda,Kampala,Papeete,Kigali
Ukraine,Kiev,Wellington,Chi?in?u
United Arab Emirates,Abu Dhabi,Adamstown,Doha
United Kingdom,London,Wellington,St Peter Port
United States,Washington,West Island,Ottawa
Uruguay,Montevideo,Seoul,Buenos Aires
Uzbekistan,Tashkent,Adamstown,Dushanbe
Vanuatu,Port Vila,Nouakchott,Noumea
Vatican,Vatican,Wellington,Rome
Venezuela,Caracas,The Settlement,Oranjestad
Vietnam,Hanoi,Sucre,Vientiane
Wallis and Futuna,Mata-Utu,Niamey,Apia
Western Sahara,El Aaiún,Kingston,Rabat
Yemen,Sanaa,Adamstown,Djibouti
Zambia,Lusaka,Yaren,Harare
Zimbabwe,Harare,Yaren,Lusaka
